No,Nama RS,Provinsi,Kota,Alamat,Telepon
1336,OPTIK TUNGGAL SUMARECON MAL BEKASI ( SMB ),JAWA BARAT,BEKASI,"JL.BOULEVARD AHMAD YANI BLOK.M – TELUK BUTYUNG, KEL.MARGA MULYA, KEC.BEKASI UTARA",021-2957 2428||
1337,OPTIK TUNGGAL PLAZA CIBUBUR 2 ( PC2 ),JAWA BARAT,BEKASI,JL. ALTERNATIF TRANS YOGIE KM 2-3 Lt.1 No.10,021-845 97988||
1338,OPTIK TUNGGAL METROPOLITAN II BEKASI ( M2B ),JAWA BARAT,BEKASI,JL. K.H NOER ALIE BEKASI Lt.1 No. 106 – 107,021-885 6469||
1339,OPTIK TUNGGAL GRAND BEKASI MAL ( BKS ),JAWA BARAT,BEKASI,JL. JEND.SUDIRMAN Lt. Dasar /23,021-8895 4741||
1340,OPTIK TUNGGAL CIKARANG CITYWALK ( CWC ),JAWA BARAT,BEKASI,JL.MH.THAMRIN KAV.108 LIPPO CIKARANG Unit W.30,021-2928 7331||
1341,KLINIK APOTEK MUTIARA MEDICARE,JAWA BARAT,BEKASI,"RUKO PINANGSIA, JL. CITANDUY RAYA BLOK A NO.22-23 GRAHA ASRI CIKARANG UTARA",021-89327397||
1342,RS MITRA KELUARGA DELTAMAS,JAWA BARAT,BEKASI,"JL. BOULEVARD DELTAMAS, HEGARMUKTI, KEC. CIKARANG PUSAT",021-89978888
1343,OPTIK MELAWAI RUKO HARAPAN INDAH,JAWA BARAT,BEKASI,"RUKO SENTRA NIAGA 1 BLOK SN 1 NO 2-3. JL. BOULEVARD HIJAU RAYA, KEL. PEJUANG, KEC. MEDAN SATRIA",0815-1416-6729
1344,OPTIK MELAWAI RUKO BOULEVARD SUMMARECON BEKASI,JAWA BARAT,BEKASI,"KOMPLEK GRAHA BULEVAR BLOK GB NO. B 01, JL. BULEVAR AHMAD YANI, RT. 003/RW. 011, MARGA MULYA, KEC. BEKASI UTARA",0815-1416-6719
1345,OPTIK MELAWAI RUKO ROBSON CIKARANG,JAWA BARAT,BEKASI,"JL. MH THAMRIN RUKO ROBSON BLOK C.21, KEL CIBATU, KEC CIKARANG SELATAN",0815-1416-6724
1346,AUDY DENTAL CIKARANG,JAWA BARAT,BEKASI,"RUKO SUDIRMAN BOULEVARD JABABEKA, JL. CIKARANG BARU RAYA B2 NO 10, DESA/KELURAHAN MEKARMUKTI, KEC. CIKARANG UTARA",081282575375/08118252100|
1347,KLINIK DR. NANCY,JAWA BARAT,BEKASI,JL. BEKASI TIMUR REGENCY RAYA L 1 NO.1 Rt.001/007 BURANGKENG,021-82618056||
1348,RSU AS-SHOFWAN,JAWA BARAT,BEKASI,JL. RAYA KARAWANG BEKASI KM.30 DS. BOJONGSARI KEDUNGWARINGIN,021-89141890|
1349,OPTIK MELAWAI RUKO JATIWARINGIN,JAWA BARAT,BEKASI,"JL. RAYA JATIWARINGIN NO.61 KEL. JATICEMPAKA, KEC. PONDOK GEDE",0815-8532-6740|
1350,OPTIK SEIS CHADSTONE,JAWA BARAT,BEKASI,"JL. RAYA CIKARANG CIBARUSAH, RUKO CIKARANG SQUARE BLOK B12, CIKARANG SELATAN",021-31118023|
1351,KLINIK ARINI DENTAL CARE CABANG CIKARANG,JAWA BARAT,BEKASI,"RUKO THAMRIN BOULEVARD JLN. CIKARANG BARU RAYA NO. A-68, SERTAJAYA CIKARANG",021-89394512|
1352,AUDY DENTAL GRAND WISATA,JAWA BARAT,BEKASI,"GRAND LAKE BOULEVARD BLOK GB 1 NO. 5, KEL. LAMBANG JAYA, KEC. TAMBUN",0811-8065-891
1353,KLINIK PRODIA GRANDWISATA,JAWA BARAT,BEKASI,"JL. CELEBRATION BOULEVARD 1 RUKO AA 5 NO.9 GRAND WISATA, LAMBANG JAYA",1500-830|
1354,DOKTER ANGGI DENTAL CLINIC - BEKASI,JAWA BARAT,BEKASI,J RUKO SENTRA OFFICE RSOA/2 JAKA SETIA BEKASI SELATAN,021-82783150|
1355,OPTIK SEIS REVO TOWN,JAWA BARAT,BEKASI,"GROUND FLOOR No GF-36, JL A YANI KAV.01, PEKAYON JAYA, BEKASI SELATAN",021-82720274|
1356,PARAHITA DIAGNOSTIC CENTER BEKASI,JAWA BARAT,BEKASI,JL. BOULEVARD RAYA TIMUR BLOK RGF-21 GRAND GALAXY CITY BEKASI,021-82725137
1357,RS MITRA KELUARGA GRAND WISATA,JAWA BARAT,BEKASI,"Boulevard, Grand Wisata, Lambangsari, Kec. Tambun Sel., Kabupaten Bekasi, 17510",021-80616900
1358,OPTIK MELAWAI RUKO JATIASIH BEKASI,JAWA BARAT,BEKASI,"JL. RAYA JATIASIH BLOK MASJID NO.50, KEL.JATISARI, KEC. JATIASIH",0815 1942 0639
1359,RB & KLINIK GRAHA BINA HUSADA,JAWA BARAT,BEKASI,"JL.  INDUSTRI SELATAN NO.1A, BLOK NN 3A, INDUSTRI JABABEKA II",021-89836243
1360,RB & KLINIK PERMATA BUNDA FUDHOLI,JAWA BARAT,BEKASI,"JL. KH.FUDHOLY NO 11 KARANG ASIH, CIKARANG UTARA",021-89106080|
1361,OPTIK MELAWAI RUKO GRAND WISATA BEKASI,JAWA BARAT,BEKASI,"RUKO GRAND BUSSINESS PARK B1 NO 15, JL. GRAND WISATA, KEL.LAMBANGSARI, KEC. TAMBUN SELATAN",0815 1944 5077
1362,OPTIK MELAWAI AEON MALL DELTAMAS,JAWA BARAT,BEKASI,"LOT G-057, JL. GANESHA BOULEVARD , KEL. HEGARMUKTI, KEC. CIKARANG PUSAT, KABUPATEN BEKASI, PROVINSI JAWA BARAT",081514234700
1363,OPTIK MELAWAI GRAND KOTA BINTANG,JAWA BARAT,BEKASI,"GEDUNG UNIQLO PHASE 3, KAV 2 JL. KH. NOER ALI NO 1G, KEL. JAKSAMPURNA, KEC. BEKASI BARAT, KOTA BEKASI, PROVINSI JAWA BARAT",0815 1994 3424
1364,OPTIK MELAWAI CAMAN JATIBENING,JAWA BARAT,BEKASI,"JL. CAMAN RAYA 23-198, KEL.JATIBENING, KEC. PONDOK GEDE, KOTA BEKASI, PROVINSI JAWA BARAT",0815-1960-4868
1365,OPTIK TUNGGAL LIVING WORLD CIBUBUR,JAWA BARAT,BOGOR,"PERUMAHAN KOTA WISATA CIBUBUR, CENTRAL BUSINESS DISTRICT (CBD) COMM AREA 8,
  KEL.CIANGSANA, KEC. GUNUNG PUTRI -BOGOR",0811-1053-2358
1366,OPTIK MELAWAI CIOMAS BOGOR,JAWA BARAT,BOGOR,"JL. RE ABDULLAH, KEL. PASIR MULYA, KEC. BOGOR BARAT, KOTA BOGOR, PROVINSI JAWA BARAT",0815 1989 6330
1367,OPTIK MELAWAI CILEUNGSI BOGOR,JAWA BARAT,BOGOR,"JL. RAYA CILEUNGSI- JONGGOL NO 69 A-C, KEL. CILEUNGSIKIDUL, KEC. CILEUNGSI, KAB. BOGOR, PROVINSI JAWA BARAT",0815 1994 4361
1368,Klinik Utama Gigi Medikids by MHDC Cibinong,JAWA BARAT,BOGOR,"Cibinong City Center Blok B/12A Pakansari, Cibinong, Kab. Bogor, Jawa Barat",
1369,RS BINA HUSADA CIBINONG,JAWA BARAT,BOGOR,Jl. Mayor Oking No.101. Cibinong,'021-8758441; 87911000021- 8753422
1370,BOGOR SENIOR HOSPITAL,JAWA BARAT,BOGOR,Jl. Raya Tajur No.168 Muara Sari. Bogor Selatan,'0251-7556777
1371,RS EMC SENTUL,JAWA BARAT,BOGOR,Jl. Mh.Thamrin Kav.57 Sentul City,'021-29672977/29672990
1372,BOGOR DENTAL CENTER CLINIC,JAWA BARAT,BOGOR,Jl. Ks Tubun Ruko 7 No.12. Cibuluh. Bogor Utara,0251-8386178
1373,RADJAK HOSPITAL CILEUNGSI,JAWA BARAT,BOGOR,Jl. Raya Narogong. Km.16.5 Limus Nunggal. Cileungsi,021-8235052/82491332/82491332
1374,AUDY DENTAL BOGOR,JAWA BARAT,BOGOR,JL. PANDU RAYA NO.145 TEGAL GUNDIL,(0251) 8342780
1375,SILOAM HOSPITALS BOGOR (Hanya Berlaku Sistem Reimbursement),JAWA BARAT,BOGOR,Jl. Pajajaran No.27. Babakan. Bogor Tengah,'0251-8303900
1376,RSU SENTOSA,JAWA BARAT,BOGOR,Jl. Raya Kemang No.18,'0251-7541900
1377,RS PERMATA JONGGOL,JAWA BARAT,BOGOR,Jl.  Raya Jonggol No.1 A Rt.008 Rw.03. Kel.Sukamanah. Jonggol. Bogor,'021 - 89931222/3
1378,RSUD KOTA BOGOR,JAWA BARAT,BOGOR,Jl.  Dr. Sumeru No. 120 Menteng. Bogor Barat 16111,'0251-8312292
1379,RS ISLAM BOGOR,JAWA BARAT,BOGOR,Jl.  Perdana Raya No.22. Budi Agung - Kedung Badak,'0251 - 8392745 /  8316822 / 7558159
1380,KLINIK INSANI CIBINONG,JAWA BARAT,BOGOR,Jl. Mayor Oking Jaya Atmaja No.58a. Ciriung. Cibinong,'021-8757567
1381,RS HERMINA MEKARSARI,JAWA BARAT,BOGOR,Jl. Raya Cileungsi - Jonggol Km 1,'021-29232525
1382,RS KARYA BHAKTI PRATIWI,JAWA BARAT,BOGOR,Jl.  Raya Dramaga Km. 7. Dramaga. Bogor,'(0251) 8626868
1383,RS MEDIKA DRAMAGA,JAWA BARAT,BOGOR,Jl.  Raya Dramaga Km. 7.3 Margajaya Bogor,'0251- 8308900; 081319310610
1384,RS SENTRA MEDIKA CIBINONG,JAWA BARAT,BOGOR,Jl. Mayor Oking Jaya Atmaja No.9 Cibinong,'021-87909999/80635969/87911212
1385,RS UMMI,JAWA BARAT,BOGOR,Jl. Empang Ii No.2 Bogor Rt.004/002 Bogor Selatan,'0251-8341600
1386,RS MULIA PAJAJARAN,JAWA BARAT,BOGOR,Jl. Raya Pajajaran No.98,0251-8379898 /
1387,RS AZRA,JAWA BARAT,BOGOR,Jl.  Raya Pajajaran. No.219,'0251-8318456
1388,MAYAPADA HOSPITAL BOGOR (BMC MAYAPADA),JAWA BARAT,BOGOR,Jl. Pajajaran Indah V/97,0251-8307900/8390435/8346002/83797430251-346002
1389,RSIA ASSALAM,JAWA BARAT,BOGOR,Jl. Raya Bogor Km 46. Nanggewer Mekar. Cibinong,'(021) 8753724
1390,RSIA CITRA INSANI,JAWA BARAT,BOGOR,Jl. Raya Parung No.242. Lebakwangi Pemagarsari. Parung,'0251 -8611507/8617727/611507
1391,RS PMI BOGOR,JAWA BARAT,BOGOR,Jl.  Raya Pajajaran. No.80,0251-8324080-8393030
1392,RS HERMINA BOGOR,JAWA BARAT,BOGOR,Jl. Ring Road-1 Kav.23.25.27 Perum.Taman Yasmin,'0251-8382525
1393,RS CITAMA,JAWA BARAT,BOGOR,Jl. Raya Pabuaran No.52 Bojonggede,'021-87985555
1394,RB & KLINIK INSANI,JAWA BARAT,BOGOR,Jl. Pahlawan No.73b Desa Karang Asem Timur. Citeureup,'021- 87942723/70247742/87975653
1395,RS TRIMITRA CIBINONG,JAWA BARAT,BOGOR,Jl. Raya Cibinong Km.43,'021-8763055-56021-8765993
1396,RSIA NURAIDA,JAWA BARAT,BOGOR,Jl. Achmad Sobana No.105 Rt.06/Rw.07. Tegal Gundil,'0251 - 8368866
1397,RS FAMILY MEDICAL CENTRE BOGOR,JAWA BARAT,BOGOR,Jl. Raya Bogor Km.51 Cimandala-Sukaraja,'(0251) 8665000 / 8652391
1398,RS RUMAH SEHAT TERPADU DOMPET DHUAFA,JAWA BARAT,BOGOR,"JL. RAYA PARUNG BOGOR KM 42, KEMANG, KAB. BOGOR",0251-8618651|
1399,RSU MELANIA,JAWA BARAT,BOGOR,Jl. Raya Pahlawan No.91 Bondongan,'0251- 8321196 / 0251-4506389
1400,KLINIK PRODIA BOGOR,JAWA BARAT,BOGOR,Jl. Jend. Sudirman No.38 B. Bogor 16143,'(0251) 8351612. 8351614
1401,KLINIK PRODIA BOGOR 2,JAWA BARAT,BOGOR,Jl. Raya Pajajaran No.70 F Baranangsiang,'(0251) 8353370
1402,RSIA BUNDA SURYATNI,JAWA BARAT,BOGOR,"JL. KH. SOLEH ISKANDAR NO. 21, CIBADAK, TANAH SAREAL",(0251) 754 3892/7543891|
1403,EKA HOSPITAL CIBUBUR,JAWA BARAT,BOGOR,"PERUM KOTA WISATA KAV V2 NAGRAK, GUNUNG PUTRI",021-50855555|
1404,RS DR. SISMADI,JAWA BARAT,BOGOR,"JL. RAYA NAROGONG KM.20 KAMPUNG RAWAHINGKIK, LISMUNUNGGAL, CILEUNGSI",021-82484065 & 67|
1405,OPTIK MELAWAI BOTANI SQUARE,JAWA BARAT,BOGOR,Botani Square LT. DASAR UNIT G NO. 81B,0251-8400801
1406,OPTIK MELAWAI BOXIES 123,JAWA BARAT,BOGOR,"JL. RAYA TAJUR, MALL BOXIES LT.1 NO.11B BOGOR TIMUR",0251-8396960
1407,OPTIK MELAWAI CIBINONG CITY MALL,JAWA BARAT,BOGOR,CIBINONG CITY MALL G-0240,0251-78871048
1408,OPTIK MELAWAI LOKASARI,JAWA BARAT,BOGOR,"Lippo Plaza Ekalokasari Lt. Dasar No.G-36, Jl. Siliwangi, Sukasari - Bogor",0251-8362923
1409,OPTIK MELAWAI METROPOLITAN CILEUNGSI,JAWA BARAT,BOGOR,"METROPOLITAN CILEUNGSI GF NO.32-33, Jl. Taman Metro Raya, Cileungsi, Bogor",0251-29099633
1410,OPTIK MELAWAI TRANSMART BOGOR,JAWA BARAT,BOGOR,TRANSMART YASMIN GF - 16,0251-7595197
1411,OPTIK MELAWAI AEON MALL SENTUL CITY,JAWA BARAT,BOGOR,"AEON MALL SENTUL CITY GF-657, JL. MH.THAMRIN, BABAKAN, MADANG",021-87966340|
1412,OPTIK SEIS BOGOR INDAH PLAZA,JAWA BARAT,BOGOR,"LANTAI 1 BLOK I-2 JL.  RAYA BARU, BOGOR",(0251) 8382036|
1413,OPTIK SEIS PLASA EKALOKASARI,JAWA BARAT,BOGOR,GROUND FLOOR UNIT G-17 JL.  RAYA PAJAJARAN,(0251) 8362927|
1414,OPTIK SEIS BOTANI SQUARE,JAWA BARAT,BOGOR,"LT. DASAR NO. GF-37 JL.  RAYA PAJAJARAN BARANANGSIANG, BOGOR",(0251) 8400711|
1415,OPTIK SEIS CIBINONG CITY MALL,JAWA BARAT,BOGOR,"GROUND FLOOR NO. B-3A JL.  TEGAR BERIMAN NO. 1 CIBINONG, BOGOR",(021) 29860156|
1416,OPTIK SATURDAYS CIBINONG CITY MALL,JAWA BARAT,BOGOR,"CIBINONG CITY MALL, UPER GROUND FLOOR (UGF B5), JL.TEGAR BERIMAN NO. 1, PAKANSARI, KEC. CIBINONG, KABUPATEN BOGOR, JAWA BARAT",0877-4950-2547
1417,OPTIK SEIS OWNDAYS LIVING WORLD KOTA WISATA,JAWA BARAT,BOGOR,"LT 1 NO. 1-43B JL BOULEVARD KOTA WISATA, CIANGSANA, GN PUTRI, BOGOR, JAWA BARAT",021-50201427
1418,OPTIK SEIS LIVING WORLD KOTA WISATA,JAWA BARAT,BOGOR,"LT 1 NO. 1-43 JL BOULEVARD KOTA WISATA, CIANGSANA, GN PUTRI, BOGOR, JAWA BARAT",021-50110235
1419,OPTIK INTERNASIONAL BOGOR 2,JAWA BARAT,BOGOR,JL. SURYA KENCANA NO.207 BOGOR,0251-8376984
1420,OPTIK INTERNASIONAL BOGOR 3,JAWA BARAT,BOGOR,JL. PAHLAWAN RUKO NO.35 H.BONDONGAN BOGOR,0251-8361185
1421,OPTIK INTERNASIONAL BOGOR 1,JAWA BARAT,BOGOR,EKALOKASARI PLAZA JL. SILIWANGI NO.123 LT.1 KIOS NO.1 BOGOR,0251-8376984
1422,RSKIA SAWOJAJAR,JAWA BARAT,BOGOR,"JL. SAWOJAJAR NO.9, RT.01/RW.04, PABATON, KEC. BOGOR TENGAH, KOTA BOGOR, JAWA BARAT",0251-8324371|
1423,KASOEM VISION CARE KLINIK AFIAT RS PMI BOGOR,JAWA BARAT,BOGOR,JL. RAYA PAJAJARAN NO.80,0251-83635551|
1424,KASOEM VISION CARE CIBINONG CITY MALL,JAWA BARAT,BOGOR,LOWER GROUND FLOOR NO 44 - 45. JL TEGAR BERIMAN NO 1 CIBINONG,021-29860057|
1425,OPTIK MELAWAI RUKO KOTA WISATA CIBUBUR,JAWA BARAT,BOGOR,"RUKO MADISON SQUARE BLOK SHC 1 NO.10 PERUMAHAN, JL. KOTA WISATA, CIANGSANA, KEC. GN. PUTRI",021-84942246/081574580879|
1426,OPTIK SEIS AEON MALL SENTUL CITY,JAWA BARAT,BOGOR,"GROUND FLOOR UNIT G-51, JL. MH. THAMRIN, CITARINGGUL, KEC. BABAKAN MADANG",021-87965151|
1427,LAB. KLINIK KIMIA FARMA BOGOR,JAWA BARAT,BOGOR,"JL. IR. H. JUANDA NO. 30, BOGOR",0251-8319030/8363473||
1428,KLINIK DR ABDUL RADJAK CIPAYUNG,JAWA BARAT,BOGOR,"JL. RAYA PUNCAK CIPAYUNG, KM.75 CIPAYUNG, MEGAMENDUNG",0251-8256172|-|-
1429,KLINIK DR ABDUL RADJAK BOGOR (D/H KLINIK NADYA MH THAMRIN),JAWA BARAT,BOGOR,"JL. KH ABDULLAH BIN NUH RT.005/ RW.01 SINDANG BARANG, BUBULAK",0251-8624629||
1430,LAB KLINIK CITO BOGOR,JAWA BARAT,BOGOR,JL. PAJAJARAN NO.145-146 BANTARJATI BOGOR UTARA,0251-8352633||
1431,FDC DENTAL CLINIC (BOGOR),JAWA BARAT,BOGOR,"JL. ACHMAD ADNAWIJAYA ST NO.40, TEGAL GUNDIL, BOGOR UTARA",0251-8572849||
1432,RB & KLINIK BUNDA MULYA (H.UPEN),JAWA BARAT,BOGOR,"JL. SUMANTRI NO.11 MEKAR MULYA, PARUNG PANJANG",021-5978058|-|-
1433,RS. GRAHA MEDIKA BOGOR,JAWA BARAT,BOGOR,JL. KH. ABDULLAH BIN NUH. NO.2 CILENDEK BARAT,0251-8367170|
1434,KLINIK KF. 0007 - JUANDA,JAWA BARAT,BOGOR,Jl. Ir. H. Juanda No. 30,0251-8363473|
1435,KLINIK KF. CILENDEK,JAWA BARAT,BOGOR,"Jl. Brigjen Saptadji Hadiprawira No. 20 RT 04/10, Ciledek Barat",0251-7546467|
1436,KLINIK KF. YA RAHMAH,JAWA BARAT,BOGOR,"Jl. Raya Parung-Gunung Sindur No. 24, Kel. Pemagarsari",0251-8610195|
1437,KLINIK KF. 0110 - KEBON PEDES,JAWA BARAT,BOGOR,"Jl. Kebon Pedes No. 45, Pdes Tanah Sereal",0251-8335904/5|
1438,KLINIK KF. GUNUNG PUTRI,JAWA BARAT,BOGOR,"Ruko Putri Indah, Jl. Raya Gunung Putri, Tlajung Udik",021-86865030|
1439,KLINIK KF. CILEUNGSI,JAWA BARAT,BOGOR,Jl. Raya Alternatif Cibubur-Cileungsi No. 1B RT 01/04,021-82493448|
1440,RSAU DR. M. HASSAN TOTO LANUD ATANG SENDJAJA,JAWA BARAT,BOGOR,"JL. SARIJO NO.1 KEL.ATANG SENDJAJA, KEC.KEMANG, KAB.BOGOR",0251-7533913|
1441,RS ISLAM AYSHA CIBINONG,JAWA BARAT,BOGOR,"PERUM ACROPOLIS, RT/RW 06/18, KARADENAN. KEC. CIBINONG",0251-8663689|
1442,RSUD CIBINONG,JAWA BARAT,BOGOR,JL. KSR DADI KUSMAYADI NO.27 CIBINONG,021-8753487||
1443,SILOAM CLINIC BOGOR BARAT,JAWA BARAT,BOGOR,"JL. KH. ABDULLAH BIN M NUH RT.04/RW.01 SINDANG BARAT, BOGOR BARAT",0251-8473213||
1444,SILOAM CLINIC BOGOR SELATAN,JAWA BARAT,BOGOR,"JL. PAHLAWAN NO 77 A RT.02/RW.06 EMPANG, BOGOR SELATAN",0251-8365261||
1445,OPTIK TUNGGAL CIBINONG CITY MALL (CCM),JAWA BARAT,BOGOR,"JL.TEGAR BERIMAN NO.1 KP.CURUG RT.05/RW.12, KEL.PAKAMSARI KEC.CIBINONG-KABUPATEN BOGOR.16914",021-298 60163||
1446,OPTIK TUNGGAL BOTANI SQUARE BOGOR ( BSB ),JAWA BARAT,BOGOR,"JL. RAYA PADJAJARAN, BOGOR",0251-8400 829||
1447,OPTIK TUNGGAL MALL METROPOLITAN CILEUNGSI ( MCI ),JAWA BARAT,BOGOR,"JL.METRO RAYA, PERUMAHAN METLAND TRANSYOGI CILEUNGSI",021-2921 2060||
1448,KLINIK DEWA MEDIKA BOGOR,JAWA BARAT,BOGOR,"JL. PANGERAN SOGIRI, RUKO HOLLYWOOD SQUARE, BLOK D NO. 17, RT.001/001, BOGOR UTARA",0251-7507813|
1449,KLINIK MEDIKA I CIAWI,JAWA BARAT,BOGOR,"Jl. Raya Wangun No. 363 Ciawi , Bogor",0251-8240379/081262195675
1450,KLINIK GALUH,JAWA BARAT,BOGOR,"Jl. Raya Galuga No. 32 RT.12/RW. 04Cempalang, Bogor",0251-8640318/081213783765
1451,KLINIK PAJAJARAN RAYA,JAWA BARAT,BOGOR,"Jl. Pajajaran Raya No.41 , Bogor (PAJAJARAN RAYA)",0251-8362359/081285840241
1452,KLINIK MEDIKA GALAXY (PUSAT),JAWA BARAT,BOGOR,"Jl. Raya Tajur No.59 A,Bogor (Ruko Galaxy Blok A1)",0251 8338693/081285904837
1453,KLINIK SUNARDI 1 /VETERAN,JAWA BARAT,BOGOR,"Jl. Veteran No. 48 C ,Bogor",0251-8324460/081214015850
1454,KLINIK CITRA CIOMAS,JAWA BARAT,BOGOR,"Jl. Raya Ciomas No. 2 , Bogor",0251-8639085/081214060296
1455,KLINIK MEDIKASARI CILANGKAP,JAWA BARAT,BOGOR,"Jl. Raya Bogor KM. 40 No. 85 B,Cibinong , Bogor",021-87911502/081222101622
1456,KLINIK CITRA CILENDEK,JAWA BARAT,BOGOR,"Jl. Brigjen Saptaji No. 26 Rt 01 Rw 09 Cilendek Barat , Bogor Barat",0251-7534326/081214060294
1457,KLINIK CITRA POMAD,JAWA BARAT,BOGOR,"Jl. Raya Cibuluh Simpang Pomad No. 236 , Bogor",0251-8659645/081219771625
1458,KLINIK PRIMA MEDIKA CIMANDALA,JAWA BARAT,BOGOR,"Jl. Raya Jakarta - Bogor KM. 50 No. 4 , Cibinong , Bogor",021-8662920/081238604187
1459,KLINIK MEDISTA WR JAMBU,JAWA BARAT,BOGOR,"Ruko Warung Jambu Blok A-2 Bantarjati , Bogor",0251-8385976/081278137881
1460,KLINIK SUNARDI 2,JAWA BARAT,BOGOR,"Jl. Raya Pancasan Tonggoh No. 6 Ciapus, Bogor",0251-8345611/081327910005
1461,KLINIK MEDIKA BILABONG,JAWA BARAT,BOGOR,"Jl. Raya Parung Kemang RT. 002 RW. 008, Kemang, Bogor",0251-7544632/081327909802
1462,KLINIK AMANAH CIBANTENG,JAWA BARAT,BOGOR,"Jl. Raya Cibanteng Babengket No. 78 A Ciampea, Bogor",0251-8620880/081377836404
1463,KLINIK MEDIKA DRAMAGA,JAWA BARAT,BOGOR,"Jl. Raya Leuwiliang (Depan IPB) Babagan Dramaga, Bogor",0251-8626690/081285904638
1464,KLINIK SUDIRMAN,JAWA BARAT,BOGOR,"Jl. Raya Sudirman No. 38 D , Bogor",0251-8314940/081214060534
1465,KLINIK CIMAHPAR,JAWA BARAT,BOGOR,"Jl. Tumenggung Wiradieredja RT. 01 RW. 08 Cimahpar, Bogor",(0251) 7563171/081285904918
1466,KLINIK MEDIKA LEUWILIANG,JAWA BARAT,BOGOR,"Jl. Raya Leuwiliang No. 79 , Bogor",0251-8641056/081214015851
1467,KLINIK AUDY DENTAL BOGOR BARU,JAWA BARAT,BOGOR,JL. BARU SHOLEH ISKANDAR NO. 18 B BOGOR,0251-8435869|
1468,OPTIK SATURDAYS BOTANI SQUARE BOGOR,JAWA BARAT,BOGOR,"BOTANI SQUARE BOGOR, GF-48, JL. RAYA PAJAJARAN NO. 40, TUGU KUJANG, KEC. BOGOR TENGAH, KOTA BOGOR",0877-4955-2544
1469,RS HERMINA CIAWI,JAWA BARAT,BOGOR,"Jl. Raya Puncak - Cianjur No. 55, Gadog, Megamendung, Bogor - Jawa Barat 16770",
1470,OPTIK MELAWAI JENDRAL SUDIRMAN BOGOR,JAWA BARAT,BOGOR,"JL. JENDRAL SUDIRMAN NO. 16 KEL. SEMPUR, KEC. BOGOR TENGAH, KOTA BOGOR, PROVINSI JAWA BARAT",0815-1960-4881
1471,OPTIK MELAWAI LIVING WORLD KOTA WISATA CIBUBUR,JAWA BARAT,BOGOR,"LT.1 UNIT 1-45, JL. BOULEVARD KOTA WISATA, KEL. CIANGSANA, KEC. GUNUNG PUTRI, KAB. BOGOR, PROVINSI JAWA BARAT",0815-1416-6732
1472,OPTIK MELAWAI MUWARDI CIANJUR,JAWA BARAT,CIANJUR,"JL. DR MUWARDI, RT.15/RW.05 KEL. MUKA, KEC. CIANJUR, KAB. CIANJUR, JAWA BARAT",
1473,KLINIK KF. 0317 - BY PASS,JAWA BARAT,CIANJUR,"JL. DR. MUARDI NO.150E, BOJONGHERANG, CIANJUR",0263-262867|
1474,LAB. KF CIANJUR,JAWA BARAT,CIANJUR,"JL. KH. ABDULLAH BINUH RUKO BLK UNIT F, CIANJUR",082117570760||
1475,KLINIK GRAHA MEDIS CIKAMPEK,JAWA BARAT,CIKAMPEK,Jl.  Achmad Yani No. 51,'0264-310101
1476,KLINIK PURI ASIH CIKAMPEK,JAWA BARAT,CIKAMPEK,Jl. Stasiun No.2 Cikampek Kota,'0264-303558 / 089510161095
1477,RS SARASWATI,JAWA BARAT,CIKAMPEK,Jl.  Jend. A.Yani. No.92. Dawuan.  Cikampek-Karawang,'0264-311531/316101/ 311514/ 3115270264-316391
1478,OPTIK INTERNASIONAL CIKAMPEK 1,JAWA BARAT,CIKAMPEK,CIKAMPEK MALL JL. A.YANI LT.DASAR BLOK C 156,0264-304649
1479,RS HOSANA MEDICA LIPPO,JAWA BARAT,CIKARANG,Jl.  Utama Biie No 01 Lippo Cikarang,'021-8972472
1480,RS BUDI ASIH CIKARANG,JAWA BARAT,CIKARANG,Jl.  Raya Serang - Cibarusah Rt 01/ Rw 01 Serang Kec.Cikarang Selatan.Bekasi,'021 - 89677795
1481,METRO HOSPITALS CIKARANG,JAWA BARAT,CIKARANG,Jl. Anggrek I B2/2 Rt.01/11 Ds. Mekarmukti - Cikarang Utara,'(021) 89835417 / 89831626 / 89835418 / 89835223
1482,RS MITRA KELUARGA CIKARANG,JAWA BARAT,CIKARANG,Jl. Industri Raya. No.100 Lemah Abang. Cikarang,'021-89840500/89840900
1483,RS MEDIROSSA 2,JAWA BARAT,CIKARANG,Jl. Raya Cibarusah Desa Sindangmulya Kec. Cibarusah Bekasi,'021-89955555
1484,RS AMANDA CIKARANG SELATAN,JAWA BARAT,CIKARANG,Jl. Raya Serang No.83 Cikarang Selatan,'021-8971643 / 021-89110011
1485,RS SENTRA MEDIKA CIKARANG,JAWA BARAT,CIKARANG,Jl. Raya Industri Pasir Gombong Jababeka,021 8904160-64
1486,KLINIK HARAPAN SEHAT II,JAWA BARAT,CIKARANG,Ruko Telaga Harapan Blok F No.16. Perumahan Telaga Harapan. Cikarang Barat,'021-8904519-
1487,KLINIK PUTRA MEDIKA 2,JAWA BARAT,CIKARANG,Jl. Raya Cikarang Cibarusah Km. 28 Rt. 012/006 Desa Ciantra Kec. Cikarang Selatan,'(021)8971612
1488,RS. EMC CIKARANG,JAWA BARAT,CIKARANG,Oasis Kav.1 Jl. Raya Cibarusah Kel. Sukaresmi. Kec. Cikarang Selatan,'(021) 2977 9999
