nama_rumah_sakit,alamat,telp,text
RS AWAL BROS A. YANI,"JL JEND A YANI NO 73, PEKANBARU",(0761)21000,Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik
KLINIK CITO PEKALONGAN,"JL KH MAS MANSYUR NO 64, BENDAN KERGON, PEKALONGAN",(0285)422458,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA PEKALONGAN | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA PEKALONGAN | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA PEKALONGAN | - | Rawat_Jalan | - | Optik
KLINIK CITO PURWOKERTO,"JL PRAMUKA NO 208, PURWOKERTO",(0281)637362,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN BANYUMAS | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN BANYUMAS | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN BANYUMAS | - | Rawat_Jalan | - | Optik
KLINIK CITO SUMURBOTO SEMARANG,"JL SETIABUDI NO 120 A, SUMURBROTO, SEMARANG",(0247)461645,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SEMARANG | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SEMARANG | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SEMARANG | - | Rawat_Jalan | - | Optik
KLINIK CITO SURABAYA,"JL IR SOEKARNO RUKO WISMA, KEDUNG ASEM INDAH RUNGKUT, SURABAYA",(0811)3141972,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA SURABAYA | - | Rawat_Jalan | - | Optik
KLINIK CITO SURAKARTA,"JL YOSODIPURO NO.64, SURAKARTA",(0271)2500055,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SURAKARTA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SURAKARTA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA SURAKARTA | - | Rawat_Jalan | - | Optik
KLINIK CITO TEGAL,"JL GAJAH MADA NO 79, KEL PEKAUMAN, TEGAL",(0283)353402,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA TEGAL | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA TEGAL | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KOTA TEGAL | - | Rawat_Jalan | - | Optik
KLINIK CITO YOGYAKARTA,"JL ARMOSUKARTO NO 4 KOTABARU, GONDOKUSUMAN, YOGYAKARTA",(0274)563656,Global Excel Indonesia | Individu | Cashless | DI YOGYAKARTA | KOTA YOGYAKARTA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DI YOGYAKARTA | KOTA YOGYAKARTA | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DI YOGYAKARTA | KOTA YOGYAKARTA | - | Rawat_Jalan | - | Optik
RS CITRA HUSADA JEMBER,"JL TERATAI NO 22, JEMBER",(0331)486200,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN JEMBER | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN JEMBER | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN JEMBER | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSIA CITRA INSANI,"JL. RAYA PARUNG BOGOR 242, LEBAK WANGI, PAMEGARSARI, BOGOR",(0251)8611507,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSU CITRA SARI HUSADA,"JL. RAYA KOSAMBI, TELAGASARI, KLARI, KARAWANG",(0267)437507,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS DELIMA ASIH SISMA MEDIKA,"JL. WIRASABA NO. 54, JOHAR, KARAWANG",(0267)403073,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK DEVITA PROFIT,"JL RAYA JATINEGARA TIMUR, NO 57, JAKARTA TIMUR",(021)8191312,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA TIMUR | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA TIMUR | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA TIMUR | - | Rawat_Jalan | - | Optik
KLINIK DHARMA DENTAL CLINIC,"JL KERTABUMI NO 62, KARAWANG, KARAWANG",(0267)8453633,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | - | Rawat_Jalan | Rawat_Gigi | Optik
RS DIAN HUSADA,"JL RAYA GEMEKAN NO 77, SOOKO, MOJOKERTO",(0321)327771,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MOJOKERTO | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MOJOKERTO | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MOJOKERTO | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK DIFA,"RAYA LABUAN KM 12,KP CIPUTRI, DESA ALASWANGI,KEC. MENES, PANDEGLANG",(0253)302161,Global Excel Indonesia | Individu | Cashless | BANTEN | KABUPATEN PANDEGLANG | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KABUPATEN PANDEGLANG | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KABUPATEN PANDEGLANG | Rawat_Inap | Rawat_Jalan | - | Optik
RS DIRGAHAYU SAMARINDA,"JL. GUNUNG MERBABU NO. 62, SAMARINDA",(0541)742161,Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA SAMARINDA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA SAMARINDA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | KALIMANTAN TIMUR | KOTA SAMARINDA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK DOKTER ANGGI DENTAL CLINIC BEKASI,"GRAND GALAXY CITY BLOK RSOA/2, BEKASI",(0218)2783150,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | - | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK DOKTER ANGGI DENTAL CLINIC DEPOK,"JL. KOMJEN POL M JASIN, NO.59, RT.2/RW.09 KELAPA DUA, DEPOK",(021)22867343,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA DEPOK | - | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK DOKTER ANGGI DENTAL CLINIC TEBET,"JL.TEBET TIMUR DALAM RAYA, NO.53 RT.8/RW.11, TEBET, JAKARTA SELATAN",(021)22902525,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | - | - | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | - | - | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | - | - | Rawat_Gigi | Optik
KLINIK DR. ABDUL RADJAK UNIT ANGKE,"KOMP.TMN DUTAMAS BLK.D9B,NO2-3, JL. TUBAGUS ANGKE NO. 27 TAMAN, JAKARTA BARAT",(021)5675259,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK DR. ABDUL RADJAK UNIT BEKASI,"JL H.M DJOYOMARTONO 31, BEKASI TIMUR, BEKASI",(021)8814262,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | - | Rawat_Jalan | Rawat_Gigi | Optik
RS DR. ABDUL RADJAK UNIT CENGKARENG,"JL DAAN MOGOT KM 17, JAKARTA BARAT",(021)54396298,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK DR. ABDUL RADJAK UNIT CIPAYUNG,"JL. RAYA PUNCAK KM 75, CIPAYUNG, BOGOR",(0251)8256172,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | - | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK DR. ABDUL RADJAK UNIT KALIDERES,"JL.PETA SELATANRAYA, KALIDERES, INDAH BLOK AI NO. 12, JAKARTA BARAT",(021)5456027,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | - | Rawat_Jalan | Rawat_Gigi | Optik
RB DR. ABDUL RADJAK UNIT PONDOK GEDE,"JL RAYA PONDOK GEDE 23-25, KRAMATJATI, JAKARTA TIMUR",(021)80887175,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA TIMUR | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA TIMUR | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA TIMUR | Rawat_Inap | Rawat_Jalan | - | Optik
KLINIK DR. ABDUL RADJAK UNIT SERDANG,"JL. H. UNG E 71/2 KEMAYORAN, JAKARTA PUSAT",(021)4249519,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA PUSAT | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA PUSAT | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA PUSAT | - | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK DR. ABDUL RADJAK UNIT TAMAN SARI,"APARTMENT TAMAN SARI GF, JL AKRI NO 134, JAKARTA SELATAN",(021)29888506,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | - | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | - | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK DR. ABDUL RADJAK UNIT TEGALAN,"JL. TEGALAN NO. 30, JAKARTA TIMUR",(021)8581344,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA TIMUR | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA TIMUR | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA TIMUR | - | Rawat_Jalan | - | Optik
RSAL DR AZHAR ZAHIR MANOKWARI,"JL SERMA SUWANDI NO 1, MANOKWARI, PAPUA BARAT",(0986)211758,Global Excel Indonesia | Individu | Cashless | PAPUA BARAT | KABUPATEN MANOKWARI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | PAPUA BARAT | KABUPATEN MANOKWARI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | PAPUA BARAT | KABUPATEN MANOKWARI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSIA DR DJOKO PRAMONO,"JL PANATAYUDA I NO 35, KARAWANG",(0267)403009,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSUD DR H ABDUL MOELOEK,"JL DR RIVAI NO 6, BANDAR LAMPUNG",(0721)703312,Global Excel Indonesia | Individu | Cashless | LAMPUNG | KOTA BANDAR LAMPUNG | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | LAMPUNG | KOTA BANDAR LAMPUNG | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | LAMPUNG | KOTA BANDAR LAMPUNG | Rawat_Inap | Rawat_Jalan | - | Optik
KLINIK DR. INTAN.P.A.PUTRI,"PERUM GRAND CIKARANG CITY BLOK, D1 NO 9 RT10/09 KARANG RAHARJA, BEKASI",(021)29283138,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BEKASI | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BEKASI | - | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BEKASI | - | Rawat_Jalan | - | Optik
RSU DR IQBALI TAUFAN,"VILLA MUTIARA CIKARANG 2, BLOK E3 NO.16-20, SUKASEJATI, BEKASI",(021)8971769,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS DR J. H. AWALOEI MANADO,"JL. TRANS SULAWESI,TATELI SATU, KEC. PINELENG, KAB. MINAHASA, MANADO",(4317)293274,Global Excel Indonesia | Individu | Cashless | SULAWESI UTARA | KOTA MANADO | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI UTARA | KOTA MANADO | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI UTARA | KOTA MANADO | Rawat_Inap | Rawat_Jalan | - | Optik
RS RUMKITAL DR.MINTOHARDJO,"JL. BENDUNGAN HILIR NO. 17, JAKARTA PUSAT",(021)5703081,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA PUSAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA PUSAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA PUSAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSUP DR SARDJITO YOGYAKARTA,"JL KESEHATAN 1 SEKIP, YOGYAKARTA",(027)4587333,Global Excel Indonesia | Individu | Cashless | DI YOGYAKARTA | KOTA YOGYAKARTA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DI YOGYAKARTA | KOTA YOGYAKARTA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DI YOGYAKARTA | KOTA YOGYAKARTA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS EFARINA PANGKALAN KERINCI,"JL. LINTAS TIMUR NO1, PANGKALAN KERINCI, PELALAWAN, PANGKALAN KERINCI",(7614)94500,Global Excel Indonesia | Individu | Cashless | RIAU | KABUPATEN PELALAWAN | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KABUPATEN PELALAWAN | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KABUPATEN PELALAWAN | Rawat_Inap | Rawat_Jalan | - | Optik
RSIA EKA FAMILY,"JL. PLUIT MAS I NO. 2A-5A, PEJAGALAN, KEC. PENJARINGAN, JAKARTA UTARA",(021)6695066,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA UTARA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA UTARA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA UTARA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS EKA HOSPITAL PERMATA HIJAU,"JL RAYA KEBAYORAN LAMA 64, JAKARTA BARAT",(021)5347411,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | - | Optik
RS ELIM RANTEPAO,"JL. AHMAD YANI NO.68, RANTEPAO, TANA TORAJA",(0423)21258,Global Excel Indonesia | Individu | Cashless | SULAWESI SELATAN | KABUPATEN TANA TORAJA | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI SELATAN | KABUPATEN TANA TORAJA | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SULAWESI SELATAN | KABUPATEN TANA TORAJA | Rawat_Inap | Rawat_Jalan | - | Optik
RS EMANUEL BANJARNEGARA,"PURWAREJA KLAMPOK, BANJARNEGARA",(0286)479030,Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN BANJARNEGARA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN BANJARNEGARA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TENGAH | KABUPATEN BANJARNEGARA | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS EMHAKA (D/H RSB TAMAN HARAPAN BARU),"JL TAMAN HARAPAN BARU RAYA, BLOK R-I NO 20, BEKASI",(021)88871202,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KOTA BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS ERA MEDIKA,"JL RAYA PULUSARI NGUNUT, DS.PULOSARI RT.01/RW.04, TULUNGAGUNG",(0355)398706,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN TULUNGAGUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN TULUNGAGUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KABUPATEN TULUNGAGUNG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS FADHILAH,"JL JEND SUDIRMAN NO 1, PATIH GALUNG PRABUMULIH, PALEMBANG",(0713)3300032,Global Excel Indonesia | Individu | Cashless | SUMATERA SELATAN | KOTA PALEMBANG | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SUMATERA SELATAN | KOTA PALEMBANG | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | SUMATERA SELATAN | KOTA PALEMBANG | Rawat_Inap | Rawat_Jalan | - | Optik
RS FAMILY MEDICAL CENTER (FMC),"JL RAYA JAKARTA BOGOR KM 51, SUKARAJA, BOGOR",(0251)8652391,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
KLINIK FATIMAH CILEGON,"JL AHMAD YANI KM 14, RUKO MONALISA B1 NO 1 CIBEBER, CILEGON",(0254)7913678,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA CILEGON | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA CILEGON | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA CILEGON | Rawat_Inap | Rawat_Jalan | - | Optik
RSU FIKRI MEDIKA,"JL. RAYA KOSAMBI, TELAGASARI, KLARI, KARAWANG",(0267)8615588,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN KARAWANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS GADING MEDIKA BENGKULU,"JL CITANDUI NO. 34, LINGKAR BARAT BENGKULU, BENGKULU",(073)65500938,Global Excel Indonesia | Individu | Cashless | BENGKULU | KOTA BENGKULU | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BENGKULU | KOTA BENGKULU | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BENGKULU | KOTA BENGKULU | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSIA GALERI CHANDRA MALANG,"JL BUNGA ANDONG 3, MALANG",(0341)478571,Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MALANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MALANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA TIMUR | KOTA MALANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
